RH,T,C_norm,E_tot,E_th,E_el
0,0,0.945785585750502,1456.49905950856,1371.79421403491,84.7048454736464
10,0,0.931197805590579,1545.02006218572,1359.6742332224,185.34582896332
20,0,0.916228513947026,1631.74885035793,1348.38234307129,283.366507286633
30,0,0.867386150173036,1450.83146382788,1229.74421638746,221.087247440422
40,0,0.81785016328243,1203.70002796685,1084.06876870322,119.631259263636
50,0,0.800073089101253,1094.19599393368,1002.94959040796,91.2464035257153
60,0,0.795130032211022,1029.65680631035,944.814846604737,84.8419597056127
70,0,0.790580316053966,972.308760509952,894.731931841303,77.5768286686495
80,0,0.788433745147805,952.894111640386,883.839892786964,69.0542188534224
90,0,0.795360137686114,957.115997336355,897.99564028223,59.1203570541242
100,0,0.808680463674106,941.920411471856,892.232797398309,49.6876140735478
0,5,0.945785585750502,1456.49905950856,1371.79421403491,84.7048454736464
10,5,0.931197805590579,1545.02006218572,1359.6742332224,185.34582896332
20,5,0.916228513947026,1631.74885035793,1348.38234307129,283.366507286633
30,5,0.867386150173036,1450.83146382788,1229.74421638746,221.087247440422
40,5,0.81785016328243,1203.70002796685,1084.06876870322,119.631259263636
50,5,0.800073089101253,1094.19599393368,1002.94959040796,91.2464035257153
60,5,0.795130032211022,1029.65680631035,944.814846604737,84.8419597056127
70,5,0.790580316053966,972.308760509952,894.731931841303,77.5768286686495
80,5,0.788433745147805,952.894111640386,883.839892786964,69.0542188534224
90,5,0.795360137686114,957.115997336355,897.99564028223,59.1203570541242
100,5,0.808680463674106,941.920411471856,892.232797398309,49.6876140735478
0,10,0.998638039235327,1548.31655943551,1454.59802604207,93.718533393447
10,10,0.969793956610142,1635.6175650751,1430.24134804943,205.376217025671
20,10,0.975073885911444,1832.68919356743,1476.74517903503,355.944014532404
30,10,0.934917873865306,1662.620088352,1365.70720064879,296.912887703214
40,10,0.898981482782416,1582.51319744082,1286.02683975206,296.486357688767
50,10,0.908856655721707,1623.24513430779,1255.1616718041,368.083462503692
60,10,0.905968439674503,1569.29388012647,1194.12507530727,375.168804819201
70,10,0.882636261000546,1365.23803167607,1163.7369780146,201.501053661465
80,10,0.863172079317854,1245.31570624812,1158.50825246161,86.8074537865113
90,10,0.87116258931332,1261.33984840362,1181.69325281786,79.6465955857632
100,10,0.851258320396277,1204.04801575665,1132.48316080651,71.5648549501456
0,15,1.05268041822046,1654.58046294146,1549.57992234446,105.000540597001
10,15,1.03074848510657,1795.95726953069,1546.22808415495,249.729185375747
20,15,1.05441681514521,2084.85186187272,1638.26937756847,446.582484304253
30,15,1.01115785610651,1947.46731914211,1536.35194319742,411.115375944689
40,15,1.03641027032127,2202.37982867242,1555.91559016351,646.464238508916
50,15,1.04673460051964,2243.11930893232,1520.57142194628,722.547886986032
60,15,1.01818673605704,2018.82983380167,1508.61747140632,510.212362395355
70,15,0.965415295841941,1750.61620629839,1512.92596433343,237.690241964967
80,15,0.950882376322872,1614.07781591082,1507.07437226324,107.003443647572
90,15,0.930136148313649,1544.72251950442,1446.17809824131,98.5444212631118
100,15,0.908290924278103,1457.64370290752,1366.73258416512,90.9111187424016
0,20,1.10729082368302,1767.05064049782,1649.22534395669,117.825296541134
10,20,1.12907634332145,2095.90721766819,1750.31485270101,345.592364967174
20,20,1.15374841302387,2388.26387521216,1838.08885814665,550.175017065508
30,20,1.18084294788583,2666.12977079699,1877.48694206488,788.642828732114
40,20,1.20944982329538,2979.96538811527,1885.32796001128,1094.63742810399
50,20,1.17705065596961,2795.05717222661,1901.13927345463,893.917898771984
60,20,1.11933396622504,2500.37508972245,1910.78617000823,589.588919714216
70,20,1.06489018418941,2172.0635758546,1908.0381339181,264.0254419365
80,20,1.02989095371469,1967.70138072617,1841.04358339956,126.657797326616
90,20,0.998400020149127,1852.73440315859,1735.19169962064,117.542703537953
100,20,0.968446348712472,1758.0645687144,1647.79576642494,110.268802289462
0,25,1.20215603201553,1917.60087924306,1791.70548910948,125.895390133582
10,25,1.23539335495918,2274.9590320341,1902.16278755457,372.796244479529
20,25,1.2642737805657,2654.56475730739,2016.88515012294,637.679607184446
30,25,1.29450706964995,3003.32396415357,2066.66801386886,936.655950284708
40,25,1.34967414566793,3248.5517490749,2076.47662199475,1172.07512708016
50,25,1.33590995135284,3020.83956587353,2063.74784996532,957.091715908216
60,25,1.27491678648928,2659.96323635494,2072.21894940318,587.744286951754
70,25,1.23549728424275,2504.26181501923,2206.91160297568,297.350212043553
80,25,1.24851330301031,2569.57378856803,2414.75429470333,154.819493864704
90,25,1.19906207612729,2416.48489736484,2272.20242793614,144.28246942871
100,25,1.17823417867129,2371.24696523578,2252.31845551086,118.928509724919
0,30,1.3316458644475,2124.87986049216,1988.02008431449,136.859776177673
10,30,1.35289156101245,2496.31789376593,2089.09372058098,407.224173184958
20,30,1.40717459118099,3010.94262457141,2251.20491013455,759.737714436863
30,30,1.44844934017217,3392.89368350531,2322.27612500911,1070.6175584962
40,30,1.56950346957223,3605.36997483685,2306.07714713036,1299.29282770649
50,30,1.57964931472391,3357.93365122972,2326.90719996389,1031.02645126583
60,30,1.46358539836587,3047.23460485509,2358.64904583915,688.58555901594
70,30,1.53690065076174,3360.10708878807,2987.1658256714,372.94126311667
80,30,1.53949168267899,3432.08510866061,3233.98526638994,198.099842270662
90,30,1.50700140648345,3316.5888283976,3137.24463775175,179.344190645843
100,30,1.50143327480747,3305.99850654877,3175.27541809685,130.723088451915
